Date,Price,Open,High,Low,Vol.,Change %,SMA_10,EMA_10,RSI_14,MACD,MACD_Signal,MACD_Diff
2021-02-18,0.059914534419055226,0.06796711772329024,0.07368348526086455,0.08664376598659396,0.4307109545734176,-0.63,-0.00654519521408844,0.016296881320628866,52.00503921047809,-0.08919846607030003,-0.5271442791426036,1.318851298306301
2021-02-17,0.06597782742524799,0.04206427198764168,0.0675275465963675,0.03493576303179356,0.7402671375564207,2.77,0.011009081484180085,0.024567639748200084,52.424979890763645,-0.03492512044245554,-0.42921396606092993,1.196295481234182
2021-02-16,0.040297998222549605,0.09476316503603023,0.10702815302688971,0.02069732743554416,1.1352181296381834,-5.43,0.027402597261403514,0.026642101256525424,50.413091452418975,-0.011389901951176338,-0.34585665904293167,1.018267023369855
2021-02-15,0.09344097810035579,0.1715785006658849,0.14960672878966047,0.06753428663373294,1.4020769080718065,-7.28,0.04772484230985669,0.038050302893674955,54.31997453765846,0.049538426422495035,-0.2661929370638248,0.9731450186447184
2021-02-14,0.1703021335612096,0.24499967030279227,0.20774614950990963,0.1687021185018209,0.9324054580286296,-6.4,0.06974358408906829,0.06142926706749035,59.31300982232101,0.1576480564845442,-0.17943435556902462,1.0598180696833308
2021-02-13,0.24252665319379837,0.2010541527098988,0.21492807795182273,0.1359162470630886,1.8824227092523287,3.96,0.09797686126095304,0.09375523046280093,63.36523981933472,0.2978590814089497,-0.08016221431837209,1.2126876791512373
2021-02-12,0.19954860570872698,0.056891418167357745,0.1754274715213005,0.08327150492432432,1.989166220625778,15.29,0.1056735990604989,0.11235028790566169,59.56363952635768,0.3713818469946021,0.014916019612744483,1.1614535789758478
2021-02-11,0.055634562885272264,0.014910944044065184,0.03178890268303804,0.049361546464835586,0.86835935120456,4.65,0.10286991498966647,0.10126674674145886,48.96916855637904,0.31275239742544114,0.07849039695196283,0.7765924884548951
2021-02-10,0.013726508283646719,-0.03564426521930432,0.039996820902367176,-0.040752763032479586,2.821765609338683,5.94,0.10156629118603125,0.08454045859493185,46.38198980520092,0.2311568945023787,0.11196986596969892,0.40894355626948276
2021-02-09,-0.03674148938554505,-0.08137618596638056,-0.04618632040059025,-0.04730993732022603,1.359379503522427,5.68,0.08604781056467287,0.06163320324297112,43.40776118032086,0.12579268876866384,0.11631061907178934,0.05297577337398825
2021-02-08,-0.08239451907923084,-0.13925564816189887,-0.08500293364616834,-0.1168159847703383,1.1779155341875631,7.75,0.07179723802630211,0.03454864090343776,40.85556304964682,0.006778697606397965,0.0944329632384511,-0.26731661448586175
2021-02-07,-0.14017413478530186,-0.09584605151526014,-0.11304665422887679,-0.1447308124524589,1.1031950762261484,-5.49,0.0511535514920211,0.0018303684595230576,37.8244033799509,-0.1310723459725042,0.04756824406006131,-0.5725664946026262
2021-02-06,-0.09683942300574859,-0.07958978281219789,-0.1034707496396592,-0.0903999397825598,0.6335236261829714,-2.01,0.037420856903039784,-0.017020495188184766,41.339592047912305,-0.20290540717024808,-0.005224141228904699,-0.6449807413125713
2021-02-05,-0.08061119760682124,-0.09263052583773129,-0.07799200350049125,-0.09152402680331631,1.8077022512909142,1.7,0.01999158522703769,-0.029478515456544844,42.64727522272785,-0.24342956243000774,-0.05608978925638318,-0.6214431086598712
2021-02-04,-0.09398610864989325,-0.17694875471515312,-0.06277315513548483,-0.1769546403808128,3.067275685497617,11.83,-0.006473763772793476,-0.04211546334924472,41.819820618070146,-0.2821510182660718,-0.10503006828358061,-0.5979221911194462
2021-02-03,-0.17780221785314443,-0.22160883356971967,-0.1699890868754737,-0.19269185867140418,1.6369126330933952,6.7,-0.04856474055592558,-0.06777065692217576,36.97791237447789,-0.3741972009730186,-0.1637883435816055,-0.7178619432732518
2021-02-02,-0.22238525466338438,-0.22285931577764762,-0.18076197953834336,-0.2507696880771584,3.003229578673547,0.18,-0.0908164380819715,-0.09690801057410697,34.67798025403917,-0.47624080069777114,-0.23253048909023571,-0.8398280640135731
2021-02-01,-0.22363357969407116,-0.002595806866924987,0.40559117825499275,-0.21292542504502182,13.528139800095653,-24.91,-0.11878184734899967,-0.12097577230245206,34.61306371077548,-0.5510090710773262,-0.30345002186022657,-0.8664277164545129
2021-01-31,-0.0037500421459674177,-0.09477420962275046,-0.014893632189397276,-0.15934394372229377,6.66453201878286,11.71,-0.12053191766072927,-0.10048785207934309,51.747538123427475,-0.4303375523189297,-0.33448233250873094,-0.37915277731342445
2021-01-30,-0.09630442656402567,-0.3814919158690682,-0.013012650930800998,-0.3678620860726305,9.173004536058919,56.67,-0.12649644300886934,-0.100637642013059,46.25325467381578,-0.40265937546298847,-0.3534126646589588,-0.23131117485051825
2021-01-29,-0.38199252644404363,-0.414897654852284,-0.3416713762964446,-0.40233408804249743,2.4908607240809904,7.05,-0.15649764835280727,-0.15296451200239408,34.1872113193684,-0.5994411646046637,-0.41047191144745965,-0.6971060728580155
2021-01-28,-0.41534063797810317,-0.4388354571183318,-0.4213565823424331,-0.4268766546623484,0.05279622690685757,5.35,-0.18405232683238856,-0.2018711676950425,33.1016944250384,-0.7721750923380161,-0.4929120392542767,-1.007166954407476
2021-01-27,-0.43923714570839184,-0.4072161212892985,-0.42375055848973747,-0.4323097419293383,0.0609514311757891,-6.59,-0.21833941865403203,-0.24625235720138822,32.309999720706074,-0.9166959453985412,-0.5896474210218406,-1.1818023046084372
2021-01-26,-0.4076723556467418,-0.4086452438126447,-0.41998859597254495,-0.40664308828873086,-0.08495627452057881,0.31,-0.25109073448783104,-0.2767963470888962,34.53718001735737,-0.9940213420531704,-0.6835062166729003,-1.1466610174918617
